date,side,entry_ts,entry,stop,risk,netR
2008-01-04,-1,2008-01-04 10:40:00,4645.75,4670.0,24.25,1.4329896907216495
2008-01-07,-1,2008-01-07 10:30:00,4588.0,4622.75,34.75,-1.0215827338129497
2008-01-08,1,2008-01-08 10:10:00,4625.0,4604.25,20.75,-1.036144578313253
2008-01-15,-1,2008-01-15 10:45:00,4551.75,4570.25,18.5,0.8108108108108109
2008-01-17,-1,2008-01-17 10:20:00,4509.0,4537.75,28.75,0.782608695652174
2008-01-18,1,2008-01-18 10:15:00,4516.25,4492.75,23.5,-1.0319148936170213
2008-01-22,1,2008-01-22 11:10:00,4453.75,4422.75,31.0,-0.6048387096774194
2008-01-25,-1,2008-01-25 10:35:00,4461.25,4485.0,23.75,1.4421052631578948
2008-01-28,1,2008-01-28 10:50:00,4435.5,4413.5,22.0,0.2727272727272727
2008-01-31,1,2008-01-31 11:25:00,4440.25,4425.25,15.0,2.05
2008-02-04,-1,2008-02-04 10:35:00,4476.75,4490.0,13.25,0.8490566037735849
2008-02-12,1,2008-02-12 11:00:00,4447.25,4435.75,11.5,-1.065217391304348
2008-02-18,1,2008-02-18 10:50:00,4444.5,4436.0,8.5,0.6176470588235294
2008-02-21,-1,2008-02-21 10:45:00,4424.25,4441.0,16.75,1.2985074626865671
2008-02-25,1,2008-02-25 10:30:00,4419.5,4393.5,26.0,-0.07692307692307693
2008-02-27,1,2008-02-27 10:45:00,4431.0,4412.5,18.5,0.02702702702702703
2008-03-05,1,2008-03-05 11:35:00,4393.5,4386.25,7.25,-1.103448275862069
2008-03-10,-1,2008-03-10 11:30:00,4323.0,4342.0,19.0,0.7894736842105263
2008-03-20,1,2008-03-20 11:25:00,4360.75,4351.75,9.0,-1.0833333333333333
2008-03-27,-1,2008-03-27 10:30:00,4422.5,4439.25,16.75,-1.044776119402985
2008-04-02,1,2008-04-02 10:30:00,4493.0,4477.0,16.0,-1.046875
2008-04-15,-1,2008-04-15 10:45:00,4413.75,4426.25,12.5,-1.06
2008-04-16,1,2008-04-16 10:25:00,4458.25,4443.75,14.5,1.0862068965517242
2008-04-17,-1,2008-04-17 11:30:00,4464.25,4473.0,8.75,-1.0857142857142856
2008-04-23,1,2008-04-23 10:30:00,4536.0,4520.5,15.5,-0.11290322580645161
2008-04-30,1,2008-04-30 11:10:00,4578.0,4569.75,8.25,-1.0909090909090908
2008-05-07,1,2008-05-07 10:45:00,4628.0,4614.5,13.5,-1.0555555555555556
2008-05-09,1,2008-05-09 10:45:00,4591.25,4581.5,9.75,-1.0769230769230769
2008-05-16,-1,2008-05-16 10:25:00,4644.75,4660.5,15.75,-1.0476190476190477
2008-05-19,1,2008-05-19 11:20:00,4672.5,4663.0,9.5,-1.0789473684210527
2008-05-20,-1,2008-05-20 11:10:00,4618.0,4629.5,11.5,-1.065217391304348
2008-05-22,1,2008-05-22 10:35:00,4604.25,4586.75,17.5,-1.042857142857143
2008-06-03,1,2008-06-03 11:20:00,4652.25,4638.75,13.5,-1.0555555555555556
2008-06-04,1,2008-06-04 10:55:00,4651.25,4629.5,21.75,-0.19540229885057472
2008-06-06,-1,2008-06-06 11:10:00,4645.0,4657.75,12.75,2.1176470588235294
2008-06-11,-1,2008-06-11 10:15:00,4573.0,4596.5,23.5,0.9680851063829787
2008-06-13,1,2008-06-13 10:20:00,4586.75,4552.5,34.25,0.10948905109489052
2008-06-16,1,2008-06-16 11:00:00,4601.5,4580.25,21.25,0.23529411764705882
2008-06-18,-1,2008-06-18 10:55:00,4568.75,4586.25,17.5,-1.042857142857143
2008-06-23,-1,2008-06-23 10:55:00,4538.5,4557.0,18.5,0.12162162162162163
2008-06-24,-1,2008-06-24 10:35:00,4511.25,4524.5,13.25,-1.0566037735849056
2008-06-26,-1,2008-06-26 10:40:00,4503.25,4518.0,14.75,1.728813559322034
2008-07-04,-1,2008-07-04 10:40:00,4428.75,4435.0,6.25,-0.12
2008-07-21,-1,2008-07-21 11:35:00,4441.25,4448.5,7.25,0.2413793103448276
2008-07-23,1,2008-07-23 10:25:00,4469.0,4442.25,26.75,-1.02803738317757
2008-07-24,-1,2008-07-24 11:10:00,4447.75,4461.25,13.5,0.9814814814814815
2008-07-25,1,2008-07-25 11:00:00,4461.25,4446.25,15.0,-0.06666666666666667
2008-07-29,1,2008-07-29 10:10:00,4455.75,4427.5,28.25,0.18584070796460178
2008-07-30,1,2008-07-30 10:20:00,4477.0,4460.5,16.5,-1.0454545454545454
2008-08-05,1,2008-08-05 11:25:00,4459.75,4449.0,10.75,2.255813953488372
2008-08-08,1,2008-08-08 10:10:00,4524.0,4496.75,27.25,0.5688073394495413
2008-08-12,1,2008-08-12 11:30:00,4572.75,4557.25,15.5,-1.0483870967741935
2008-08-20,1,2008-08-20 11:00:00,4547.25,4525.0,22.25,-1.0337078651685394
2008-08-21,-1,2008-08-21 10:45:00,4506.25,4524.25,18.0,-1.0416666666666667
2008-08-26,1,2008-08-26 10:40:00,4516.0,4502.75,13.25,-1.0566037735849056
2008-08-27,1,2008-08-27 10:25:00,4513.25,4495.25,18.0,0.125
2008-08-29,-1,2008-08-29 10:40:00,4497.25,4508.5,11.25,0.5333333333333333
2008-09-04,-1,2008-09-04 11:25:00,4415.0,4425.75,10.75,-1.069767441860465
2008-09-08,-1,2008-09-08 11:05:00,4374.0,4400.25,26.25,-0.17142857142857143
2008-09-09,-1,2008-09-09 11:00:00,4371.75,4388.0,16.25,2.1384615384615384
2008-09-11,1,2008-09-11 10:15:00,4346.0,4326.75,19.25,2.1818181818181817
2008-09-12,1,2008-09-12 11:20:00,4385.0,4360.0,25.0,-0.13
2008-09-15,1,2008-09-15 10:55:00,4388.75,4367.0,21.75,-1.0344827586206897
2008-09-24,1,2008-09-24 10:45:00,4295.0,4272.75,22.25,-0.0898876404494382
2008-09-25,1,2008-09-25 11:25:00,4318.5,4312.0,6.5,-1.1153846153846154
2008-10-03,1,2008-10-03 10:55:00,4173.0,4151.25,21.75,-1.0344827586206897
2008-10-06,-1,2008-10-06 10:45:00,3988.25,4050.0,61.75,-1.0121457489878543
2008-10-09,-1,2008-10-09 11:05:00,3950.25,3980.75,30.5,-1.0245901639344261
2008-10-30,-1,2008-10-30 11:35:00,3938.0,3958.0,20.0,-1.0375
2008-10-31,1,2008-10-31 10:15:00,3953.75,3927.5,26.25,0.2857142857142857
2008-11-06,-1,2008-11-06 10:45:00,3883.0,3908.5,25.5,0.6372549019607843
2008-11-27,1,2008-11-27 10:35:00,3813.75,3808.0,5.75,0.6956521739130435
2008-12-03,1,2008-12-03 10:30:00,3753.75,3726.5,27.25,1.165137614678899
2008-12-19,1,2008-12-19 10:45:00,3859.25,3845.25,14.0,-1.0535714285714286
2008-12-29,-1,2008-12-29 10:10:00,3798.5,3812.0,13.5,0.3888888888888889
2008-12-30,1,2008-12-30 10:25:00,3808.0,3797.5,10.5,1.2619047619047619
2008-12-31,1,2008-12-31 10:50:00,3835.75,3830.5,5.25,-0.8095238095238095
2009-01-02,1,2009-01-02 10:40:00,3854.0,3833.25,20.75,1.4457831325301205
2009-01-21,-1,2009-01-21 11:00:00,3763.0,3785.0,22.0,-1.0340909090909092
2009-01-23,1,2009-01-23 11:05:00,3786.25,3771.75,14.5,0.5344827586206896
2009-01-28,1,2009-01-28 11:10:00,3849.0,3839.25,9.75,0.46153846153846156
2009-01-30,-1,2009-01-30 10:15:00,3813.25,3836.75,23.5,0.5425531914893617
2009-02-02,1,2009-02-02 10:15:00,3811.5,3789.75,21.75,0.11494252873563218
2009-02-05,1,2009-02-05 10:20:00,3834.5,3818.0,16.5,1.6666666666666667
2009-02-10,-1,2009-02-10 11:35:00,3861.5,3896.25,34.75,0.2302158273381295
2009-02-11,-1,2009-02-11 10:20:00,3846.5,3863.0,16.5,-0.13636363636363635
2009-02-18,-1,2009-02-18 10:10:00,3796.75,3819.75,23.0,-1.0326086956521738
2009-02-27,1,2009-02-27 11:30:00,3744.0,3737.75,6.25,-0.84
2009-03-03,-1,2009-03-03 11:05:00,3700.5,3714.25,13.75,-1.0545454545454545
2009-03-04,1,2009-03-04 11:05:00,3732.0,3718.75,13.25,-0.16981132075471697
2009-03-05,-1,2009-03-05 11:20:00,3704.0,3719.25,15.25,0.36065573770491804
2009-03-13,1,2009-03-13 10:50:00,3787.75,3776.75,11.0,-1.0681818181818181
2009-03-23,1,2009-03-23 10:20:00,3851.0,3830.0,21.0,1.6547619047619047
2009-04-01,1,2009-04-01 10:15:00,3855.0,3837.0,18.0,1.3194444444444444
2009-04-02,1,2009-04-02 10:45:00,3918.0,3908.0,10.0,0.1
2009-04-13,-1,2009-04-13 11:05:00,3951.5,3964.25,12.75,-1.0588235294117647
2009-04-20,-1,2009-04-20 10:20:00,3942.5,3957.0,14.5,0.29310344827586204
2009-04-23,-1,2009-04-23 11:00:00,3956.5,3972.75,16.25,-1.0461538461538462
2009-04-29,1,2009-04-29 10:45:00,4015.5,4002.0,13.5,-0.6666666666666666
2009-05-06,-1,2009-05-06 10:25:00,4033.75,4061.0,27.25,-0.6788990825688074
2009-05-07,-1,2009-05-07 10:10:00,4024.5,4060.25,35.75,0.2097902097902098
2009-05-08,-1,2009-05-08 10:20:00,4012.5,4041.25,28.75,-0.30434782608695654
2009-05-11,1,2009-05-11 10:15:00,4017.5,3994.25,23.25,0.22580645161290322
2009-05-19,1,2009-05-19 10:40:00,4028.5,4012.0,16.5,-0.25757575757575757
2009-05-25,1,2009-05-25 11:25:00,3991.0,3983.0,8.0,0.09375
2009-05-28,-1,2009-05-28 10:10:00,4024.25,4048.5,24.25,-1.0309278350515463
2009-06-15,-1,2009-06-15 10:35:00,4086.0,4098.25,12.25,-0.30612244897959184
2009-07-01,1,2009-07-01 10:30:00,4128.5,4113.5,15.0,-1.05
2009-07-07,-1,2009-07-07 10:15:00,4055.25,4070.75,15.5,1.2580645161290323
2009-07-08,-1,2009-07-08 11:05:00,4033.0,4045.25,12.25,-1.0612244897959184
2009-07-20,1,2009-07-20 11:35:00,4167.0,4160.0,7.0,0.75
2009-07-28,-1,2009-07-28 11:10:00,4222.25,4228.75,6.5,-1.1153846153846154
2009-08-06,-1,2009-08-06 11:35:00,4236.5,4245.0,8.5,0.35294117647058826
2009-08-11,-1,2009-08-11 10:40:00,4221.75,4231.75,10.0,-1.075
2009-09-18,-1,2009-09-18 11:35:00,4356.5,4362.25,5.75,-1.1304347826086956
2009-09-21,1,2009-09-21 11:10:00,4362.0,4350.25,11.75,0.06382978723404255
2009-09-22,-1,2009-09-22 10:35:00,4361.25,4371.5,10.25,-1.0731707317073171
2009-09-24,-1,2009-09-24 10:10:00,4347.25,4368.75,21.5,0.12790697674418605
2009-10-13,-1,2009-10-13 11:10:00,4358.25,4364.0,5.75,-1.1304347826086956
