date,side,entry_ts,entry,stop,risk,branch,fork_reason,bench_R,fork_R
2008-01-02,-1,2008-01-02 10:05:00,4732.5,4743.5,11.0,C,close,3.0,3.0
2008-01-03,-1,2008-01-03 09:50:00,4690.5,4702.5,12.0,C,stop,-1.0625,-1.0625
2008-01-04,-1,2008-01-04 10:20:00,4656.75,4674.25,17.5,A,close,2.6142857142857143,2.6142857142857143
2008-01-07,-1,2008-01-07 10:20:00,4597.25,4620.0,22.75,A,stop,-1.032967032967033,-1.032967032967033
2008-01-08,1,2008-01-08 10:05:00,4619.25,4606.25,13.0,A,stop,-1.0576923076923077,-1.0576923076923077
2008-01-09,1,2008-01-09 10:05:00,4576.5,4551.5,25.0,C,stop,-1.03,-1.03
2008-01-10,1,2008-01-10 10:05:00,4577.25,4567.75,9.5,C,close,1.9473684210526316,1.9473684210526316
2008-01-11,-1,2008-01-11 10:10:00,4572.0,4587.0,15.0,C,close,0.9666666666666667,0.9666666666666667
2008-01-15,-1,2008-01-15 10:15:00,4562.75,4575.0,12.25,A,close,2.122448979591837,2.122448979591837
2008-01-16,-1,2008-01-16 10:15:00,4507.75,4539.0,31.25,C,stop,-1.024,-1.024
2008-01-17,1,2008-01-17 09:50:00,4533.25,4520.75,12.5,C,stop,-1.06,-1.06
2008-01-18,1,2008-01-18 10:10:00,4507.5,4488.0,19.5,A,stop,-1.0384615384615385,-1.0384615384615385
2008-01-21,1,2008-01-21 09:50:00,4426.0,4419.25,6.75,C,stop,-1.1111111111111112,-1.1111111111111112
2008-01-22,1,2008-01-22 10:05:00,4427.0,4377.0,50.0,A,close,0.16,0.16
2008-01-23,1,2008-01-23 10:00:00,4386.25,4364.5,21.75,B,stop,-1.0344827586206897,-1.0344827586206897
2008-01-24,1,2008-01-24 09:50:00,4450.75,4433.0,17.75,C,stop,-1.0422535211267605,-1.0422535211267605
2008-01-25,-1,2008-01-25 10:10:00,4472.75,4503.25,30.5,A,close,1.5,1.5
2008-01-28,1,2008-01-28 10:30:00,4430.5,4409.75,20.75,A,close,0.5301204819277109,0.5301204819277109
2008-01-29,-1,2008-01-29 09:55:00,4443.0,4454.0,11.0,C,close,-0.20454545454545456,-0.20454545454545456
2008-01-30,1,2008-01-30 09:55:00,4445.75,4433.25,12.5,C,close,-0.28,-0.28
2008-01-31,1,2008-01-31 10:10:00,4434.0,4418.75,15.25,A,close,2.4262295081967213,2.4262295081967213
2008-02-01,1,2008-02-01 09:50:00,4489.25,4477.75,11.5,B,stop,-1.065217391304348,-1.065217391304348
2008-02-04,-1,2008-02-04 10:10:00,4480.75,4491.5,10.75,A,close,1.4186046511627908,1.4186046511627908
2008-02-05,1,2008-02-05 10:00:00,4445.5,4429.75,15.75,C,stop,-1.0476190476190477,-1.0476190476190477
2008-02-06,1,2008-02-06 10:05:00,4427.5,4409.5,18.0,C,stop,-1.0416666666666667,-1.0416666666666667
2008-02-07,-1,2008-02-07 09:55:00,4353.75,4370.0,16.25,C,stop,-1.0461538461538462,-1.0461538461538462
2008-02-12,1,2008-02-12 10:05:00,4440.75,4434.25,6.5,A,stop,-1.1153846153846154,-1.1153846153846154
2008-02-15,1,2008-02-15 09:50:00,4417.75,4409.75,8.0,C,stop,-1.09375,-1.09375
2008-02-18,1,2008-02-18 09:55:00,4431.75,4428.0,3.75,A,close,4.8,4.8
2008-02-19,-1,2008-02-19 10:00:00,4431.25,4443.25,12.0,C,close,2.5208333333333335,2.5208333333333335
2008-02-21,-1,2008-02-21 10:05:00,4430.5,4441.5,11.0,A,close,2.5454545454545454,2.5454545454545454
2008-02-22,-1,2008-02-22 10:05:00,4401.25,4410.0,8.75,C,close,-0.9428571428571428,-0.9428571428571428
2008-02-25,-1,2008-02-25 10:00:00,4398.25,4410.75,12.5,C,stop,-1.06,-1.06
2008-02-26,-1,2008-02-26 10:00:00,4405.25,4412.25,7.0,B,stop,-1.1071428571428572,-1.1071428571428572
2008-02-27,1,2008-02-27 09:50:00,4419.75,4408.0,11.75,A,close,1.0,1.0
2008-02-28,1,2008-02-28 10:30:00,4436.5,4424.0,12.5,B,stop,-1.06,-1.06
2008-02-29,-1,2008-02-29 10:10:00,4400.5,4411.5,11.0,C,close,1.9318181818181819,1.9318181818181819
2008-03-04,-1,2008-03-04 10:35:00,4353.25,4360.0,6.75,C,stop,-1.1111111111111112,-1.1111111111111112
2008-03-05,1,2008-03-05 09:50:00,4389.0,4377.75,11.25,A,stop,-1.0666666666666667,-1.0666666666666667
2008-03-06,-1,2008-03-06 10:05:00,4379.75,4389.25,9.5,C,stop,-1.0789473684210527,-1.0789473684210527
2008-03-07,1,2008-03-07 09:50:00,4345.25,4330.25,15.0,C,stop,-1.05,-1.05
2008-03-11,-1,2008-03-11 10:05:00,4329.75,4346.25,16.5,C,stop,-1.0454545454545454,-1.0454545454545454
2008-03-12,-1,2008-03-12 10:05:00,4369.25,4380.75,11.5,B,stop,-1.065217391304348,-1.065217391304348
2008-03-13,-1,2008-03-13 10:25:00,4340.5,4350.25,9.75,B,stop,-1.0769230769230769,-1.0769230769230769
2008-03-14,-1,2008-03-14 09:50:00,4372.5,4395.5,23.0,C,close,1.0,1.0
2008-03-17,1,2008-03-17 10:10:00,4326.75,4307.5,19.25,C,stop,-1.0389610389610389,-1.0389610389610389
2008-03-19,-1,2008-03-19 10:00:00,4392.0,4402.75,10.75,C,close,4.116279069767442,4.116279069767442
2008-03-20,1,2008-03-20 10:25:00,4358.25,4342.0,16.25,A,close,1.5076923076923077,1.5076923076923077
2008-03-24,1,2008-03-24 10:05:00,4414.75,4390.0,24.75,C,close,1.1515151515151516,1.1515151515151516
