window,volume_multiplier,trades,netR,profit_factor
2024-Jun2026,0.8,239.0,4.22,1.04
2024-Jun2026,0.9,192.0,-0.96,0.99
2024-Jun2026,1.0,155.0,2.54,1.04
2024-Jun2026,1.1,113.0,0.48,1.01
2024-Jun2026,1.2,89.0,15.14,1.46
2024-Jun2026,1.3,57.0,14.87,1.79
2024-Jun2026,1.4,38.0,10.8,1.9
2024-Jun2026,1.5,24.0,10.96,3.21
2024-Jun2026,1.6,15.0,8.9,4.62
2008-2023,1.0,,-6.13,0.99
2008-2023,1.1,,10.96,1.03
2008-2023,1.2,741.0,5.26,1.016
2008-2023,1.3,,-12.76,0.95
2008-2023,1.4,,-23.12,0.89
2008-2023,1.5,,-21.62,0.87
