year,hold_trades,hold_win%,hold_netR,hold_avgR,hold_dollars,hold_PF,hold_maxDD_R,dyn_trades,dyn_win%,dyn_netR,dyn_avgR,dyn_dollars,dyn_PF,dyn_maxDD_R
2016,149,12.080536912751679,-88.15264548461442,-0.5916284931853317,-9930.0,0.4443200895355344,-92.27713528053276,149,20.13422818791946,-79.8421191592791,-0.5358531487199939,-8795.0,0.37690400283386466,-79.10742528172807
2017,160,17.5,-44.17696981710344,-0.2761060613568965,-4055.0,0.7571129080563043,-58.836221197906546,160,25.624999999999996,-31.881388448840006,-0.19925867780525003,-3745.0,0.7060439560439561,-43.25624663662922
2018,149,18.79194630872483,22.86568785935092,0.15346099234463706,-6955.0,0.8009729575046501,-32.514076388381426,149,34.22818791946309,12.16054987128467,0.08161442866634007,-2405.0,0.890257814282455,-12.42227239832081
2019,160,26.875,37.63262039992169,0.23520387749951058,5680.0,1.2095940959409595,-23.22124805515196,160,39.375,19.234214876012288,0.1202138429750768,4325.0,1.238357674290438,-18.176066491680068
2020,157,19.745222929936308,-0.956149375710335,-0.0060901234121677385,-15585.0,0.7701835877018359,-33.716139295814294,157,26.751592356687897,-33.72041824037526,-0.21477973401512904,-21630.0,0.5795918367346938,-35.07552368813779
2021,168,30.357142857142854,33.04784398746975,0.1967133570682723,17795.0,1.2848339335734293,-15.644888040352578,168,34.523809523809526,1.4073813290585164,0.008377269815824503,-495.0,0.9896226415094339,-23.967340032929883
2022,162,20.98765432098765,52.24514607350995,0.322500901688333,39610.0,1.4115324675324676,-15.261592809647116,162,28.39506172839506,-21.349321733314603,-0.13178593662539878,-15655.0,0.7909879839786382,-23.17476430927713
2023,161,19.875776397515526,-10.051558087557284,-0.06243203781091481,2645.0,1.0377560488187851,-30.352973948558386,161,36.024844720496894,0.9449447690693442,0.005869222168132572,8165.0,1.1903929112743383,-21.082973459586544
2024,171,26.900584795321635,24.105491743056167,0.1409677879710887,15180.0,1.1706480804901354,-12.94750355514222,171,37.42690058479532,0.35133651230548857,0.0020545994871666,-560.0,0.990487514863258,-15.901693898511974
2025,153,24.836601307189543,4.288610204821069,0.028030132057654044,-1855.0,0.9803109908188717,-28.58452416389186,153,34.64052287581699,-0.8111455557186229,-0.005301604939337404,-7425.0,0.886049723756906,-17.37130800733003
2026,91,31.868131868131865,22.307643553838084,0.24513894015206686,18630.0,1.2431004110393424,-10.883493059857685,91,43.956043956043956,7.869192734615442,0.08647464543533454,5510.0,1.1106203573579603,-9.28874401630114
