date,side,signal_ts,failure_ts,reassert_ts,entry_ts,entry,stop,exit_ts,exit,reason,risk,net_points,netR,dollars,hold_net_points,hold_netR,hold_dollars,hold_reason
2008-01-02,-1,2008-01-02 10:00:00,2008-01-02 10:15:00,2008-01-02 10:35:00,2008-01-02 10:40:00,4729.25,4737.75,2008-01-02 12:00:00,4701.75,thesis_flip,8.5,26.75,3.147058823529412,535.0,29.75,3.5,595.0,close
2008-01-11,-1,2008-01-11 10:05:00,2008-01-11 10:20:00,2008-01-11 11:00:00,2008-01-11 11:05:00,4571.0,4580.0,2008-01-11 11:30:00,4580.0,stop,9.0,-9.75,-1.0833333333333333,-195.0,-9.75,-1.0833333333333333,-195.0,stop
2008-01-15,-1,2008-01-15 10:10:00,2008-01-15 10:35:00,2008-01-15 10:40:00,2008-01-15 10:45:00,4551.75,4567.5,2008-01-15 11:15:00,4559.0,thesis_flip,15.75,-8.0,-0.5079365079365079,-160.0,15.0,0.9523809523809523,300.0,close
2008-01-22,1,2008-01-22 10:00:00,2008-01-22 10:25:00,2008-01-22 11:00:00,2008-01-22 11:05:00,4435.75,4416.25,2008-01-22 11:25:00,4439.25,thesis_flip,19.5,2.75,0.141025641025641,55.0,-0.75,-0.038461538461538464,-15.0,close
2008-01-23,1,2008-01-23 09:55:00,2008-01-23 10:05:00,2008-01-23 10:15:00,2008-01-23 10:20:00,4397.5,4380.0,2008-01-23 10:35:00,4386.75,thesis_flip,17.5,-11.5,-0.6571428571428571,-230.0,-18.25,-1.042857142857143,-365.0,stop
2008-01-24,1,2008-01-24 09:45:00,2008-01-24 10:40:00,2008-01-24 11:25:00,2008-01-24 11:30:00,4449.75,4429.25,2008-01-24 12:30:00,4441.5,thesis_flip,20.5,-9.0,-0.4390243902439024,-180.0,13.75,0.6707317073170732,275.0,close
2008-01-28,1,2008-01-28 10:25:00,2008-01-28 10:40:00,2008-01-28 10:45:00,2008-01-28 10:50:00,4435.5,4425.25,2008-01-28 11:20:00,4431.0,thesis_flip,10.25,-5.25,-0.5121951219512195,-105.0,-11.0,-1.0731707317073171,-220.0,stop
2008-01-29,-1,2008-01-29 09:50:00,2008-01-29 10:30:00,2008-01-29 11:20:00,2008-01-29 11:25:00,4440.25,4445.5,2008-01-29 11:30:00,4445.5,stop,5.25,-6.0,-1.1428571428571428,-120.0,-6.0,-1.1428571428571428,-120.0,stop
2008-01-31,1,2008-01-31 10:05:00,2008-01-31 10:30:00,2008-01-31 10:55:00,2008-01-31 11:00:00,4435.25,4425.25,2008-01-31 12:10:00,4455.75,thesis_flip,10.0,19.75,1.975,395.0,35.75,3.575,715.0,close
2008-02-04,-1,2008-02-04 10:05:00,2008-02-04 10:25:00,2008-02-04 10:30:00,2008-02-04 10:35:00,4476.75,4487.0,2008-02-04 10:55:00,4482.0,thesis_flip,10.25,-6.0,-0.5853658536585366,-120.0,11.25,1.0975609756097562,225.0,close
2008-02-05,1,2008-02-05 09:55:00,2008-02-05 10:10:00,2008-02-05 10:25:00,2008-02-05 10:30:00,4448.25,4438.75,2008-02-05 10:45:00,4440.25,thesis_flip,9.5,-8.75,-0.9210526315789472,-175.0,-10.25,-1.0789473684210527,-205.0,stop
2008-02-06,1,2008-02-06 10:00:00,2008-02-06 10:30:00,2008-02-06 11:00:00,2008-02-06 11:05:00,4428.75,4413.75,2008-02-06 11:35:00,4426.5,thesis_flip,15.0,-3.0,-0.2,-60.0,-15.75,-1.05,-315.0,stop
2008-02-12,1,2008-02-12 10:00:00,2008-02-12 10:15:00,2008-02-12 10:30:00,2008-02-12 10:35:00,4442.75,4437.75,2008-02-12 10:40:00,4437.75,stop,5.0,-5.75,-1.15,-115.0,-5.75,-1.15,-115.0,stop
2008-02-15,1,2008-02-15 09:45:00,2008-02-15 10:10:00,2008-02-15 10:30:00,2008-02-15 10:35:00,4419.75,4407.5,2008-02-15 10:55:00,4413.25,thesis_flip,12.25,-7.25,-0.5918367346938775,-145.0,-13.0,-1.0612244897959184,-260.0,stop
2008-02-19,-1,2008-02-19 09:55:00,2008-02-19 10:20:00,2008-02-19 10:30:00,2008-02-19 10:35:00,4428.25,4435.0,2008-02-19 11:35:00,4425.5,thesis_flip,6.75,2.0,0.2962962962962963,40.0,27.25,4.037037037037037,545.0,close
2008-02-21,-1,2008-02-21 10:00:00,2008-02-21 10:45:00,2008-02-21 10:50:00,2008-02-21 10:55:00,4421.5,4439.0,2008-02-21 11:50:00,4422.0,thesis_flip,17.5,-1.25,-0.0714285714285714,-25.0,19.0,1.0857142857142856,380.0,close
2008-02-27,1,2008-02-27 09:45:00,2008-02-27 10:20:00,2008-02-27 10:35:00,2008-02-27 10:40:00,4422.5,4413.5,2008-02-27 11:35:00,4429.5,thesis_flip,9.0,6.25,0.6944444444444444,125.0,9.0,1.0,180.0,close
2008-03-04,-1,2008-03-04 10:30:00,2008-03-04 10:50:00,2008-03-04 10:55:00,2008-03-04 11:00:00,4347.75,4354.0,2008-03-04 11:20:00,4349.0,thesis_flip,6.25,-2.0,-0.32,-40.0,-7.0,-1.12,-140.0,stop
2008-03-06,-1,2008-03-06 10:00:00,2008-03-06 10:25:00,2008-03-06 10:40:00,2008-03-06 10:45:00,4383.75,4390.0,2008-03-06 11:40:00,4381.25,thesis_flip,6.25,1.75,0.28,35.0,38.0,6.08,760.0,close
2008-03-11,-1,2008-03-11 10:00:00,2008-03-11 10:40:00,2008-03-11 11:10:00,2008-03-11 11:15:00,4334.0,4340.75,2008-03-11 11:30:00,4336.75,thesis_flip,6.75,-3.5,-0.5185185185185185,-70.0,-7.5,-1.1111111111111112,-150.0,stop
2008-03-19,-1,2008-03-19 09:55:00,2008-03-19 10:20:00,2008-03-19 10:30:00,2008-03-19 10:35:00,4381.25,4398.5,2008-03-19 10:50:00,4386.75,thesis_flip,17.25,-6.25,-0.3623188405797101,-125.0,-18.0,-1.0434782608695652,-360.0,stop
2008-03-20,1,2008-03-20 10:20:00,2008-03-20 10:45:00,2008-03-20 10:50:00,2008-03-20 10:55:00,4358.25,4352.0,2008-03-20 11:15:00,4356.0,thesis_flip,6.25,-3.0,-0.48,-60.0,-7.0,-1.12,-140.0,stop
2008-03-25,-1,2008-03-25 09:55:00,2008-03-25 10:20:00,2008-03-25 11:15:00,2008-03-25 11:20:00,4444.75,4450.25,2008-03-25 11:35:00,4450.25,stop,5.5,-6.25,-1.1363636363636365,-125.0,-6.25,-1.1363636363636365,-125.0,stop
2008-03-26,-1,2008-03-26 09:50:00,2008-03-26 10:20:00,2008-03-26 10:30:00,2008-03-26 10:35:00,4434.75,4446.25,2008-03-26 11:00:00,4439.0,thesis_flip,11.5,-5.0,-0.4347826086956521,-100.0,-12.25,-1.065217391304348,-245.0,stop
2008-04-03,1,2008-04-03 10:10:00,2008-04-03 10:40:00,2008-04-03 11:05:00,2008-04-03 11:10:00,4475.0,4467.0,2008-04-03 12:25:00,4481.0,thesis_flip,8.0,5.25,0.65625,105.0,9.75,1.21875,195.0,close
