date,side,entry_ts,entry,initial_stop,final_stop,risk,exit_ts,exit,reason,netR,dollars
2016-01-04,-1,2016-01-04 10:05:00,7217.0,7251.75,7229.5,34.75,2016-01-04 12:46:00,7229.5,stop,-0.381294964028777,-265.0
2016-01-05,-1,2016-01-05 09:55:00,7257.75,7279.75,7261.0,22.0,2016-01-05 10:41:00,7261.0,stop,-0.1818181818181818,-80.0
2016-01-06,1,2016-01-06 10:10:00,7195.75,7166.25,7166.25,29.5,2016-01-06 10:13:00,7188.25,counterattack_succeeds,-0.2796610169491525,-165.0
2016-01-07,1,2016-01-07 10:35:00,7145.5,7096.75,7096.75,48.75,2016-01-07 13:12:00,7096.75,stop,-1.015384615384615,-990.0
2016-01-08,1,2016-01-08 10:00:00,7119.0,7088.5,7088.5,30.5,2016-01-08 10:03:00,7109.25,counterattack_succeeds,-0.3442622950819672,-210.0
2016-01-11,-1,2016-01-11 09:50:00,7040.0,7070.0,7070.0,30.0,2016-01-11 10:13:00,7047.25,counterattack_succeeds,-0.2666666666666666,-160.0
2016-01-13,-1,2016-01-13 09:55:00,7092.25,7117.5,7117.5,25.25,2016-01-13 15:59:00,6939.0,close,6.03960396039604,3050.0
2016-01-14,-1,2016-01-14 09:55:00,6916.0,6961.5,6961.5,45.5,2016-01-14 10:17:00,6929.5,counterattack_succeeds,-0.3131868131868132,-285.0
2016-01-20,-1,2016-01-20 09:55:00,6819.5,6856.25,6856.25,36.75,2016-01-20 13:51:00,6856.25,stop,-1.020408163265306,-750.0
2016-01-21,-1,2016-01-21 10:00:00,6865.5,6911.5,6911.5,46.0,2016-01-21 10:05:00,6898.75,counterattack_succeeds,-0.7391304347826086,-680.0
2016-01-22,1,2016-01-22 09:55:00,6989.25,6965.75,6965.75,23.5,2016-01-22 11:11:00,6980.5,counterattack_succeeds,-0.4042553191489361,-190.0
2016-01-25,1,2016-01-25 10:05:00,7015.0,6997.75,6997.75,17.25,2016-01-25 10:10:00,7010.0,counterattack_succeeds,-0.3333333333333333,-115.0
2016-01-26,-1,2016-01-26 09:50:00,6940.0,6977.25,6977.25,37.25,2016-01-26 10:08:00,6955.5,counterattack_succeeds,-0.436241610738255,-325.0
2016-01-27,-1,2016-01-27 10:00:00,6951.5,6976.25,6976.25,24.75,2016-01-27 12:06:00,6976.25,stop,-1.0303030303030305,-510.0
2016-01-28,-1,2016-01-28 10:05:00,6919.75,6955.5,6933.5,35.75,2016-01-28 11:24:00,6933.5,stop,-0.4055944055944055,-290.0
2016-01-29,1,2016-01-29 10:20:00,6988.5,6941.0,6973.5,47.5,2016-01-29 10:52:00,6973.5,stop,-0.331578947368421,-315.0
2016-02-01,-1,2016-02-01 10:05:00,6997.0,7022.75,7022.75,25.75,2016-02-01 10:10:00,7007.0,counterattack_succeeds,-0.4174757281553398,-215.0
2016-02-03,-1,2016-02-03 09:55:00,6941.0,6976.5,6976.5,35.5,2016-02-03 15:59:00,6929.0,close,0.3169014084507042,225.0
2016-02-04,1,2016-02-04 10:15:00,6929.25,6884.25,6924.5,45.0,2016-02-04 11:14:00,6924.5,stop,-0.1222222222222222,-110.0
2016-02-05,-1,2016-02-05 09:50:00,6867.25,6915.75,6915.75,48.5,2016-02-05 15:59:00,6782.5,close,1.731958762886598,1680.0
2016-02-08,-1,2016-02-08 10:30:00,6682.5,6719.0,6719.0,36.5,2016-02-08 10:33:00,6697.5,counterattack_succeeds,-0.4315068493150685,-315.0
2016-02-09,1,2016-02-09 09:50:00,6737.0,6663.0,6663.0,74.0,2016-02-09 10:32:00,6719.5,counterattack_succeeds,-0.2466216216216216,-365.0
