date,netR,net_dollars,risk_pts,dir,reason,entry_time,entry,stop,target,exit_time,exit,pts,strategy
2016-01-04,-1.0214285714285714,-715.0,35.0,-1,stop,,,,,,,,
2016-01-05,0.7078651685393258,315.0,22.25,-1,close,,,,,,,,
2016-01-06,0.1848739495798319,110.0,29.75,1,close,,,,,,,,
2016-01-08,-1.024390243902439,-630.0,30.75,1,stop,,,,,,,,
2016-01-11,-0.0661157024793388,-40.0,30.25,-1,close,,,,,,,,
2016-01-13,5.980392156862745,3050.0,25.5,-1,close,,,,,,,,
2016-01-14,-1.0163934426229508,-930.0,45.75,-1,stop,,,,,,,,
2016-01-20,-1.0202702702702702,-755.0,37.0,-1,stop,,,,,,,,
2016-01-21,-1.0162162162162165,-940.0,46.25,-1,stop,,,,,,,,
2016-01-22,1.0947368421052632,520.0,23.75,1,close,,,,,,,,
2016-01-25,-1.042857142857143,-365.0,17.5,1,stop,,,,,,,,
2016-01-26,-1.02,-765.0,37.5,-1,stop,,,,,,,,
2016-01-27,-1.03,-515.0,25.0,-1,stop,,,,,,,,
2016-01-28,-0.6527777777777778,-470.0,36.0,-1,close,,,,,,,,
2016-01-29,0.8848167539267016,845.0,47.75,1,close,,,,,,,,
2016-02-01,-1.0288461538461535,-535.0,26.0,-1,stop,,,,,,,,
2016-02-03,0.3146853146853147,225.0,35.75,-1,close,,,,,,,,
2016-02-04,-0.0276243093922651,-25.0,45.25,1,close,,,,,,,,
2016-02-05,1.7230769230769232,1680.0,48.75,-1,close,,,,,,,,
2016-02-08,-1.020408163265306,-750.0,36.75,-1,stop,,,,,,,,
2016-02-09,-0.3905723905723905,-580.0,74.25,1,close,,,,,,,,
2016-02-10,-1.0215827338129495,-710.0,34.75,1,stop,,,,,,,,
2016-02-11,-1.0252100840336134,-610.0,29.75,1,stop,,,,,,,,
2016-02-12,-1.0260869565217392,-590.0,28.75,-1,stop,,,,,,,,
2016-02-15,-0.26,-65.0,12.5,1,close,,,,,,,,
2016-02-16,-1.0333333333333334,-465.0,22.5,-1,stop,,,,,,,,
2016-02-17,2.075268817204301,965.0,23.25,1,close,,,,,,,,
2016-02-18,0.8270676691729323,550.0,33.25,-1,close,,,,,,,,
