entry_time,dir,entry,stop,target,exit_time,exit,risk_pts,pts,net_dollars,netR,reason,strategy,date
2024-02-05 10:35:00,-1,19286.75,19359.0,19142.25,2024-02-05 12:12:00,19359.0,72.25,-72.25,-1460.0,-1.0103806228373702,stop,S5_PressureContinuation_Proxy,2024-02-05
2024-02-29 10:45:00,-1,19684.25,19714.5,19623.75,2024-02-29 10:49:00,19714.5,30.25,-30.25,-620.0,-1.024793388429752,stop,S5_PressureContinuation_Proxy,2024-02-29
2024-03-08 11:05:00,-1,19991.5,20076.5,19821.5,2024-03-08 12:09:00,19821.5,85.0,170.0,3385.0,1.9911764705882353,target,S5_PressureContinuation_Proxy,2024-03-08
2024-04-01 10:55:00,-1,19900.25,19978.5,19743.75,2024-04-01 15:59:00,19921.25,78.25,-21.0,-435.0,-0.2779552715654952,close,S5_PressureContinuation_Proxy,2024-04-01
2024-05-14 11:00:00,1,19765.0,19709.0,19877.0,2024-05-14 15:59:00,19837.5,56.0,72.5,1435.0,1.28125,close,S5_PressureContinuation_Proxy,2024-05-14
2024-07-01 10:55:00,-1,21029.0,21114.75,20857.5,2024-07-01 11:28:00,21114.75,85.75,-85.75,-1730.0,-1.0087463556851313,stop,S5_PressureContinuation_Proxy,2024-07-01
2024-07-29 10:50:00,-1,20427.75,20486.25,20310.75,2024-07-29 11:22:00,20310.75,58.5,117.0,2325.0,1.9871794871794872,target,S5_PressureContinuation_Proxy,2024-07-29
2024-08-21 10:40:00,1,21095.5,21004.5,21277.5,2024-08-21 10:52:00,21004.5,91.0,-91.0,-1835.0,-1.0082417582417582,stop,S5_PressureContinuation_Proxy,2024-08-21
2024-09-19 11:05:00,1,21039.5,20983.25,21152.0,2024-09-19 15:59:00,21017.25,56.25,-22.25,-460.0,-0.4088888888888889,close,S5_PressureContinuation_Proxy,2024-09-19
2024-09-27 11:05:00,-1,21230.25,21268.5,21153.75,2024-09-27 12:13:00,21153.75,38.25,76.5,1515.0,1.9803921568627452,target,S5_PressureContinuation_Proxy,2024-09-27
2024-10-03 10:35:00,1,20947.75,20866.25,21110.75,2024-10-03 10:42:00,20866.25,81.5,-81.5,-1645.0,-1.00920245398773,stop,S5_PressureContinuation_Proxy,2024-10-03
2024-10-30 11:15:00,-1,21550.25,21599.75,21451.25,2024-10-30 11:26:00,21599.75,49.5,-49.5,-1005.0,-1.0151515151515151,stop,S5_PressureContinuation_Proxy,2024-10-30
2024-11-27 11:05:00,-1,21653.5,21718.75,21523.0,2024-11-27 13:15:00,21718.75,65.25,-65.25,-1320.0,-1.0114942528735633,stop,S5_PressureContinuation_Proxy,2024-11-27
2024-12-16 11:05:00,1,22946.5,22911.75,23016.0,2024-12-16 13:03:00,23016.0,34.75,69.5,1375.0,1.9784172661870503,target,S5_PressureContinuation_Proxy,2024-12-16
2025-02-07 10:55:00,-1,22282.0,22437.25,21971.5,2025-02-07 15:59:00,22221.25,155.25,60.75,1200.0,0.3864734299516908,close,S5_PressureContinuation_Proxy,2025-02-07
2025-03-04 10:55:00,-1,20808.75,20896.75,20632.75,2025-03-04 11:43:00,20896.75,88.0,-88.0,-1775.0,-1.0085227272727273,stop,S5_PressureContinuation_Proxy,2025-03-04
2025-06-20 11:05:00,-1,21999.75,22181.75,21635.75,2025-06-20 15:59:00,22058.5,182.0,-58.75,-1190.0,-0.3269230769230769,close,S5_PressureContinuation_Proxy,2025-06-20
2025-08-19 11:00:00,-1,23756.5,23875.25,23519.0,2025-08-19 15:59:00,23685.75,118.75,70.75,1400.0,0.5894736842105263,close,S5_PressureContinuation_Proxy,2025-08-19
2025-10-07 11:05:00,-1,25360.5,25447.75,25186.0,2025-10-07 15:59:00,25261.5,87.25,99.0,1965.0,1.1260744985673352,close,S5_PressureContinuation_Proxy,2025-10-07
2025-11-27 11:05:00,-1,25505.75,25519.25,25478.75,2025-11-27 11:27:00,25519.25,13.5,-13.5,-285.0,-1.0555555555555556,stop,S5_PressureContinuation_Proxy,2025-11-27
2025-12-03 10:35:00,1,25795.0,25714.25,25956.5,2025-12-03 15:59:00,25873.75,80.75,78.75,1560.0,0.9659442724458205,close,S5_PressureContinuation_Proxy,2025-12-03
2026-03-05 11:05:00,-1,25246.25,25314.75,25109.25,2026-03-05 12:04:00,25314.75,68.5,-68.5,-1385.0,-1.010948905109489,stop,S5_PressureContinuation_Proxy,2026-03-05
2026-03-06 10:25:00,1,25027.75,24880.75,25321.75,2026-03-06 15:26:00,24880.75,147.0,-147.0,-2955.0,-1.0051020408163265,stop,S5_PressureContinuation_Proxy,2026-03-06
2026-05-18 11:10:00,-1,29019.5,29127.5,28803.5,2026-05-18 15:59:00,29099.75,108.0,-80.25,-1620.0,-0.75,close,S5_PressureContinuation_Proxy,2026-05-18
2026-05-27 11:00:00,-1,29941.5,30025.25,29774.0,2026-05-27 12:40:00,30025.25,83.75,-83.75,-1690.0,-1.008955223880597,stop,S5_PressureContinuation_Proxy,2026-05-27
