date,side,signal_ts,entry_ts,entry,stop,exit_ts,exit_px,exit_reason,netR
2016-01-04,SHORT,2016-01-04 10:00:00,2016-01-04 10:05:00,7217.0,7251.75,2016-01-04 15:59:00,7251.75,STOP,-1.0216
2016-01-05,SHORT,2016-01-05 09:50:00,2016-01-05 09:55:00,7257.75,7279.75,2016-01-05 15:59:00,7241.25,EOD,0.7159
2016-01-06,LONG,2016-01-06 10:05:00,2016-01-06 10:10:00,7195.75,7166.25,2016-01-06 15:59:00,7202.0,EOD,0.1864
2016-01-07,LONG,2016-01-07 10:30:00,2016-01-07 10:35:00,7145.5,7096.75,2016-01-07 13:12:00,7096.75,STOP,-1.0154
2016-01-08,LONG,2016-01-08 09:55:00,2016-01-08 10:00:00,7119.0,7088.5,2016-01-08 10:10:00,7088.5,STOP,-1.0246
2016-01-11,SHORT,2016-01-11 09:45:00,2016-01-11 09:50:00,7040.0,7070.0,2016-01-11 15:59:00,7041.25,EOD,-0.0667
2016-01-13,SHORT,2016-01-13 09:50:00,2016-01-13 09:55:00,7092.25,7117.5,2016-01-13 15:59:00,6939.0,EOD,6.0396
2016-01-14,SHORT,2016-01-14 09:50:00,2016-01-14 09:55:00,6916.0,6961.5,2016-01-14 10:28:00,6961.5,STOP,-1.0165
2016-01-20,SHORT,2016-01-20 09:50:00,2016-01-20 09:55:00,6819.5,6856.25,2016-01-20 13:51:00,6856.25,STOP,-1.0204
2016-01-21,SHORT,2016-01-21 09:55:00,2016-01-21 10:00:00,6865.5,6911.5,2016-01-21 10:10:00,6911.5,STOP,-1.0163
2016-01-22,LONG,2016-01-22 09:50:00,2016-01-22 09:55:00,6989.25,6965.75,2016-01-22 15:59:00,7016.0,EOD,1.1064
2016-01-25,LONG,2016-01-25 10:00:00,2016-01-25 10:05:00,7015.0,6997.75,2016-01-25 10:42:00,6997.75,STOP,-1.0435
2016-01-26,SHORT,2016-01-26 09:45:00,2016-01-26 09:50:00,6940.0,6977.25,2016-01-26 10:26:00,6977.25,STOP,-1.0201
