date,latch_dir,latch_ts,band,invalid_ts,confirm_ts,confirm_dir,confirm_entry,confirm_stop
2016-01-04,-1,2016-01-04 10:00:00,1,,,0,,
2016-01-05,-1,2016-01-05 10:00:00,1,,,0,,
2016-01-06,1,2016-01-06 10:15:00,1,,,0,,
2016-01-07,1,2016-01-07 10:30:00,1,,,0,,
2016-01-08,-1,2016-01-08 10:35:00,1,,,0,,
2016-01-11,-1,2016-01-11 10:50:00,1,,,0,,
2016-01-12,-1,2016-01-12 10:45:00,1,,,0,,
2016-01-13,-1,2016-01-13 10:10:00,1,,2016-01-13 10:35:00,-1,7070.5,7102.5
2016-01-14,1,2016-01-14 10:25:00,1,,2016-01-14 10:35:00,1,6982.5,6887.5
2016-01-15,0,,0,,,0,,
2016-01-18,0,,0,,,0,,
2016-01-19,-1,2016-01-19 11:10:00,1,,2016-01-19 11:20:00,-1,6907.0,6949.5
2016-01-20,-1,2016-01-20 10:00:00,1,,,0,,
2016-01-21,1,2016-01-21 10:10:00,1,,,0,,
2016-01-22,1,2016-01-22 10:00:00,1,,,0,,
2016-01-25,1,2016-01-25 10:00:00,1,2016-01-25 11:10:00,,0,,
2016-01-26,1,2016-01-26 10:35:00,1,,,0,,
2016-01-27,-1,2016-01-27 10:00:00,1,,2016-01-27 10:15:00,-1,6925.75,6973.5
2016-01-28,-1,2016-01-28 10:00:00,1,,,0,,
2016-01-29,1,2016-01-29 10:15:00,1,,,0,,
2016-02-01,-1,2016-02-01 10:00:00,1,2016-02-01 10:40:00,,0,,
2016-02-02,0,,0,,,0,,
2016-02-03,-1,2016-02-03 10:00:00,1,,2016-02-03 10:10:00,-1,6900.5,6970.25
2016-02-04,1,2016-02-04 10:10:00,1,,,0,,
2016-02-05,-1,2016-02-05 10:15:00,1,,,0,,
2016-02-08,-1,2016-02-08 10:25:00,1,,,0,,
2016-02-09,1,2016-02-09 10:00:00,1,,,0,,
2016-02-10,1,2016-02-10 10:15:00,1,,2016-02-10 10:35:00,1,6804.25,6764.5
2016-02-11,-1,2016-02-11 11:30:00,0,,,0,,
2016-02-12,1,2016-02-12 11:25:00,0,,,0,,
2016-02-15,1,2016-02-15 10:00:00,1,,,0,,
2016-02-16,-1,2016-02-16 10:00:00,1,,2016-02-16 11:10:00,-1,6818.5,6847.5
2016-02-17,1,2016-02-17 10:05:00,1,,,0,,
2016-02-18,-1,2016-02-18 10:05:00,1,,,0,,
2016-02-19,1,2016-02-19 10:15:00,1,,,0,,
2016-02-22,1,2016-02-22 10:00:00,1,,2016-02-22 11:30:00,1,6987.5,6970.0
2016-02-23,-1,2016-02-23 10:05:00,1,,,0,,
2016-02-24,0,,0,,,0,,
2016-02-25,-1,2016-02-25 10:05:00,1,,,0,,
2016-02-26,-1,2016-02-26 10:00:00,1,,,0,,
2016-02-29,1,2016-02-29 11:15:00,1,,,0,,
2016-03-01,1,2016-03-01 10:00:00,1,,,0,,
2016-03-02,0,,0,,,0,,
2016-03-03,-1,2016-03-03 10:10:00,1,,2016-03-03 11:25:00,-1,7066.0,7085.75
2016-03-04,1,2016-03-04 11:10:00,0,,,0,,
2016-03-07,-1,2016-03-07 10:25:00,1,2016-03-07 11:20:00,,0,,
2016-03-08,0,,0,,,0,,
2016-03-09,1,2016-03-09 10:35:00,1,,,0,,
2016-03-10,-1,2016-03-10 10:30:00,1,,2016-03-10 10:40:00,-1,7055.5,7097.5
2016-03-11,-1,2016-03-11 10:05:00,1,2016-03-11 10:30:00,,0,,
2016-03-14,1,2016-03-14 10:25:00,1,,,0,,
2016-03-15,-1,2016-03-15 10:00:00,1,2016-03-15 10:30:00,,0,,
2016-03-16,1,2016-03-16 10:05:00,1,,,0,,
2016-03-17,-1,2016-03-17 10:10:00,1,,,0,,
2016-03-18,1,2016-03-18 11:15:00,0,,,0,,
2016-03-21,0,,0,,,0,,
2016-03-22,1,2016-03-22 10:25:00,0,,,0,,
2016-03-23,-1,2016-03-23 10:55:00,1,,2016-03-23 11:20:00,-1,7171.25,7190.75
2016-03-24,1,2016-03-24 10:35:00,1,,,0,,
2016-03-28,0,,0,,,0,,
2016-03-29,1,2016-03-29 10:00:00,1,,,0,,
2016-03-30,-1,2016-03-30 11:30:00,0,,,0,,
2016-03-31,1,2016-03-31 10:10:00,1,,,0,,
2016-04-01,1,2016-04-01 10:00:00,1,,2016-04-01 10:10:00,1,7251.25,7213.75
2016-04-04,1,2016-04-04 10:05:00,1,2016-04-04 10:45:00,,0,,
2016-04-05,1,2016-04-05 10:05:00,1,,,0,,
2016-04-06,1,2016-04-06 10:00:00,1,,2016-04-06 10:45:00,1,7259.0,7240.25
2016-04-07,-1,2016-04-07 10:10:00,1,,2016-04-07 10:20:00,-1,7267.5,7291.25
2016-04-08,1,2016-04-08 10:00:00,1,2016-04-08 10:55:00,,0,,
2016-04-11,1,2016-04-11 10:05:00,1,2016-04-11 11:30:00,,0,,
2016-04-12,-1,2016-04-12 10:05:00,1,2016-04-12 10:50:00,,0,,
